reviewer_name,reviewer_rating,reviewer_date,language,reviewer_review,reviewer_ContributorLevel,reviewer_HelpfulVotes,SentimentScore,KeyPhrases
RitaL23,ui_bubble_rating bubble_10,Date of experience: March 2019,en,"First of all, ticket system is way too complicated, nothing for a spontaneous trip. Prices are too expensive for what we could see, since most of the castle was covered in construction, only one tour to be visited. All tour guides are absolutely unfriendly, they only hand out audio equipment to tourists and chase them in a 30 minutes tour from room to room. No pictures can be taken, no boards with infos, no possibility to look closer at things on your own... The worst impression we could give our family members coming from abroad was the service team, they treated the foreign tourists in an absolutely repectless way! I felt ashamed for their behaviour - this site does not deserve the publicity it has, they really seem to hate the tourists ...",Level 4 Contributor,4 Helpful votes,0.0261230171,"room, foreign tourists, minutes tour, tour guides, repectless way, possibility, site, boards, worst impression, family members, infos, things, service team, audio equipment, behaviour, ticket system, spontaneous trip, construction, Prices, castle, publicity, pictures"
TuristaFeliceAM,ui_bubble_rating bubble_30,Date of experience: March 2019,en,"The castle itself didn't meet my expectations. Visited in March and despite cold weather there were crowds of tourists. We walked towards the castle and it was a pleasant walk - fresh air, little streams falling from the mountains. But castle was somehow pale and not as nice as on photos. Bridge of Maria was closed due to works. The other castle - Hohenschwangau was better for me.",Level 6 Contributor,60 Helpful votes,0.1307838857,"castle - Hohenschwangau, little streams, pleasant walk - fresh air, cold weather, crowds of tourists, mountains, Bridge of Maria, photos, expectations"
Dogdreamer,ui_bubble_rating bubble_40,Date of experience: February 2019,en,"this was our third stop for the day and tour was sold out by the time we got there which was early afternoon 3?? We walked to the entrance anyway, which was covered with scaffolding for restoration. This is an extremely tourist stop so not what we were looking for but interesting and size alone is stunning. Wish we would have gotten to walk bridge - shame you people crossing the blockades.",Level 4 Contributor,10 Helpful votes,0.0614616275,"stop, people, size, time, day, early afternoon, scaffolding, restoration, bridge, blockades, entrance, tourist"
Donsurfandski,ui_bubble_rating bubble_50,Date of experience: March 2019,en,"Just spent a fantastic day visiting the Neuschwanstein Castle. Despite heavy snow and winds, the trip was sensational thanks to our great tour guide Dani. Her knowledge about the history of the castle and her fantastic attitude made the trip one of the highlights of our vacation, even with a teenager!",Level 3 Contributor,15 Helpful votes,0.9386924505,"trip, Neuschwanstein Castle, fantastic day, fantastic attitude, sensational thanks, great tour guide Dani, winds, heavy snow, history, vacation, highlights"
JoScotch,ui_bubble_rating bubble_30,Date of experience: March 2019,en,"Visited with 2 friends in March. You can walk up to the castle for free, I wouldn’t bother with any tours. There were far too many people on the guided tour and we were rushed around and given no time to look around (this would have been difficult anyway considering the number of people in one tour). The ‘guide’ gave no information, this was left to a recording and everyone was given a device to listen on. There were also construction works going on so the whole front of the castle was covered in scaffolding. This wasn’t made clear when we bought the tickets. The outside parts of the castle we could see were worth seeing though!",Level 4 Contributor,33 Helpful votes,0.1956604719,"castle, number of people, guided tour, outside parts, information, recording, device, tickets, scaffolding, friends, tours, time, construction"
chrislioo,ui_bubble_rating bubble_50,Date of experience: July 2018,en,"Although you cannot take pictures inside the castle, it is definitely one of the better castles in Europe that I would recommend people to take the effort and see. The King of Bavaria Ludwig II was an avid fan of Wagner's works which can be seen throughout the rooms available in the guided tour. Be sure to get to the bridge either walking or bus for the most picturesque view of the castle. Absolutely Disney magical.",Level 5 Contributor,18 Helpful votes,0.9332176447,"""avid fan of Wagners works"", King of Bavaria Ludwig, Europe, bus, rooms available, guided tour, picturesque view, people, bridge, better castles, Disney magical, effort"
BagmanNZ,ui_bubble_rating bubble_50,Date of experience: October 2018,en,"I came here on a tour on an atrociously wet day. With it being a tour we walked up to the castle. If I was here by myself in similar conditions I'm not sure I'd do that again. Horse and cart would do just fine.
When you get outside the castle itself, it's magnificent. You can walk around and see it from multiple views. The only downer for us was that the bridge was closed.
Inside, again, magnificent. It was a shame you couldn't't take photos inside, but don't worry they'll sell you a book with average photos of the things you just saw that you could of taken much better photos of.
You can take photos from the castle out though. And the views are exceptional over the valley and other castle.
Well with a trip. The tour was 40 Euro.",Level 6 Contributor,274 Helpful votes,0.8480352759,"castle, tour, average photos, better photos, multiple views, book, things, valley, similar conditions, wet day, shame, ""couldntt"", Horse, cart, downer, bridge, Euro, trip"
AmyC201529,ui_bubble_rating bubble_40,Date of experience: March 2019,en,"This was one of my favorite things we visited! It is beautiful against the Bavarian scenery and everywhere you look beautiful views! It is a lot of walking and there is very limited handicap accessibility to get there and once inside the castle. We did tour the castle, but not nearly as impressive as the exterior since it was unfinished. Even though the walk is long there is much to look at and take pictures. Views from the bridge are breathtaking, but only if you dare! (The bridge is suspension with two boards and way above a deep cavern). This will be something I never forget!",Level 6 Contributor,32 Helpful votes,0.8637763858,"beautiful views, bridge, castle, boards, way, Bavarian scenery, deep cavern, suspension, limited handicap accessibility, lot of walking, favorite things, pictures"
Garrett P,ui_bubble_rating bubble_50,Date of experience: May 2018,en,"This was my first time in this area of Europe so I took a day out before I drove the Romantic Road. I was not disappointed. The castle is beautiful. The interior of the castle is really interesting because each large room is dedicated to a different Wagner opera so the décor and feel within each of the rooms is very different.
I normally like to walk around a place of interest with an audio guide and enjoy the experience at my own pace. The groups going round with a guide looked a less enjoyable experience. Don't let that detract from experiencing this wonderful venue. Choose how best you'll personally like to enjoy your time here and stick to it. It's worth it",Level 6 Contributor,35 Helpful votes,0.984706521,"castle, time, audio guide, enjoyable experience, different Wagner opera, large room, décor, area of Europe, day, interior, place, Romantic Road, wonderful venue, pace, rooms, groups"
paulmO2855OB,ui_bubble_rating bubble_30,Date of experience: March 2019,en,"The castle was amazing!! But the tour was trash. We barley saw any of the castle and the tour guides got mad because we took too long to look at stuff. Won’t be coming back due to the tour company in charge. If I pay €120, I want to look at some art!",Level 3 Contributor,5 Helpful votes,0.0676546991,"castle, tour guides, tour company, charge, barley, trash, stuff, art"
An_Old_Burian,ui_bubble_rating bubble_20,Date of experience: February 2019,en,"This is a massive castle but you only get to visit a small number of rooms in the tour - and that involves something like 100 steep steps both up and down...…..after you have undertaken a stiff walk up from the cafes (even if you have paid the extra for a lift up to this mid-point)
What you do see internally is reasonably impressive - but by far the best element is the vision of the castle from a distance, and then as you get closer, looking upwards
Whether its worth the climb (and expense) of going inside - well thats for you to decide, but it didn't match up with our expectations",Level 6 Contributor,303 Helpful votes,0.843875289,"massive castle, vision, lift, small number of rooms, tour, best element, stiff walk, cafes, climb, expense, mid-point, distance, steep steps, thats, expectations"
Paivar,ui_bubble_rating bubble_50,Date of experience: November 2018,en,We went in the afternoon on an off peak day and it was very busy so I can imagine how bad it would be in peak! Parking was easy. We walked up to the bus line and caught that up the hill and walked back down afterwards. The castle is just amazing. Seeing it in the distance as you drive toward it then getting closer and closer its like nothing else. The surrounding scenery and view from the top is also spectacular n autumn. I would probably book some sort of guided/guaranteed tour in peak though as you'll be waiting a long time just to get up there otherwise. I wouldn't fancy walking up as well as down but if there were no other option and you're fit enough then I'd do it.,Level 6 Contributor,34 Helpful votes,0.2489371598,"peak day, guaranteed tour, sort of guided, view, spectacular n autumn, surrounding scenery, afternoon, bus line, Parking, castle, long time, hill, distance, walking, option"
erniemaryk,ui_bubble_rating bubble_40,Date of experience: February 2019,en,My husband and I took the tour in February. We had a beautiful day. Its a long walk up to the castle but so worth it. The guided tour provided lots of historical details and the castle itself is simply amazing.,Level 5 Contributor,8 Helpful votes,0.9287606478,"castle, guided tour, historical details, long walk, beautiful day, husband"
Augustin Ovidiu T,ui_bubble_rating bubble_50,Date of experience: September 2018,en,"we got on the bus, the long way to get up ... I was at a suspended bridge where it was said that Ludwig met a woman in secret ... the castle is gorgeous as a story, it's not over, it's not visit all the rooms, but the furnishings and amenities at that time impress you ... the dance hall and the bedrooms ... the kitchen and the inner courtyard ... the charming landscape",Level 5 Contributor,6 Helpful votes,0.8355183601,"inner courtyard, castle, secret, time, bedrooms, kitchen, dance hall, Ludwig, furnishings, amenities, woman, charming landscape, bus, long way, story, suspended bridge"
wbkrb,ui_bubble_rating bubble_40,Date of experience: February 2019,en,"In Schwangau you can visit 2 castles.
the castle Hohenschwangau & castle Neuschwanstein.
Both castles lie on a mountain which is a strong walk.
Depending on the season, buses and horse-carriage are available here.
During my visit, it was only possible to use carriages to Neuschwanstein (€ 7, - from valley to castle, € 3.50 from castle to valley). If you are dependent on this, pay close attention to the ""openinghours"" of the carriages. On the day we visited this location this service was only until 16:00.
In the castles are a lot of stairs, and now elevators.
So a visit when you have problems with stairs, than you can better not visit it.
Both Castles are certainly worth to visit.
The castles can only be visited with a guide, because my parents are less good in their foreign languages, I have used the Audio Tour in both castles.
The information given by the audio tour is very nice..
In Hohenschwangau the audio tour is activated by passing the Guide (by infrared) when you are entering a room.
The audio tour in Neuschwanstein is activated when the majority of the group is present in a room (by radio signal).
For Neuschwanstein this means that you are not always in the room about which information is given. Our group was so large that the group did not fit in the room. Because of this you noticed that people were strongly urged to join the group in the front. And you have a short time to watch, becouse you must follow the group. The tour in Hohenschwangau was much more pleasant to visit due to less crowds.
Due to the large crowds, the tour is carried out under a big time pressure (every 5 to 10 minutes a new group starts).
If you book a tour I would advise you to use a spoken tour.
More time is planned for this type of tour.
Each tour is between 30-45 minutes.",Level 1 Contributor,2 Helpful votes,0.5,"Audio Tour, castles, visit, type of tour, spoken tour, castle Neuschwanstein, room, castle Hohenschwangau, new group, minutes, short time, large crowds, carriages, guide, valley, information, big time pressure, lot of stairs, buses, horse-carriage, close attention, season, openinghours, parents, foreign languages, mountain, becouse, majority, radio signal, day, location, service, strong walk, elevators, problems, infrared, people"
PickApprentice,ui_bubble_rating bubble_50,Date of experience: February 2019,en,We were in Munich for two days and decided to spend our Sunday at the castles. It was a right decision to make reservation for entry tickets online as we waited for 10 mins in comparison to the unreserved queue which I would not be surprised if it took them 2 hours to get the tickets. We took some water and juice with us as we knew we would spend more than 5 hours outdoor which was another good decision as the town is packed with tourists. It would definitely be worth it to spend some time planning the trip!,Level 2 Contributor,17 Helpful votes,0.8362218142,"good decision, right decision, entry tickets, hours outdoor, reservation, comparison, mins, unreserved queue, town, time, Munich, days, water, juice, trip, tourists, castles"
JCPetty,ui_bubble_rating bubble_50,Date of experience: September 2018,en,"You can only purchase tickets there, the day of your tour, or online two days or more ahead of time. We decided to walk out of town to the ticket office at the base of the mountain the castles, which was pleasant enough, but took a good bit longer than I'd expected, based on the map I had. Tomorrow, we are NOT walking there, but will drive our car and pay the 6 Euros parking fee. There is also a pretty frequent shuttle bus to and from Fussen, which we were lucky enough to catch back after walking all that way.
We arrived with our car at the parking area near the ticket center just before 7:30, being only the second car to enter the lot. There were however a number of people in line at the ticket counter already, since there were other parking lots and other ways to get there. We had no problem getting one of, if not the first English tour for the Hohenschwangau Castle at 9:50, and Neuschwanstein Castle at 11:55.
The walk to Neuschwanstein was supposed to be about 40 minutes, and that is about how long it took us. This walk is not for the feeble, as it is continuously uphill and long. If you aren't in for a climb, I'd recommend either the horse and carriage ride, or the shuttle bus. This time, the tour leader spoke English with less accent, and we were all given audio devices that let us all hear her well. On the down side, there were probably almost 50 people on this tour and the rooms got rather crowded at times. There are some excellent rooms and neat furnishings in Neuschwanstein, just not on the scale of Hohenschwangau. The guide explained a lot about the paintings and other things, many of which were wedding or birthday presents for King Ludwig II. Although it might not have been as cool inside as Hohenschwangau, it was again well worth the time and expense.",Level 6 Contributor,45 Helpful votes,0.7389276028,"English tour, walk, tour leader, Neuschwanstein Castle, Hohenschwangau Castle, ticket office, parking area, ticket counter, ticket center, parking lots, scale of Hohenschwangau, Euros parking fee, excellent rooms, pretty frequent shuttle bus, number of people, wedding, mountain, base, Fussen, carriage ride, line, neat furnishings, birthday, King Ludwig, horse, castles, paintings, things, accent, guide, ways, town, days, audio devices, tickets, climb, times, expense, map, problem, minutes"
Stephanie D,ui_bubble_rating bubble_50,Date of experience: December 2018,en,"Wow, this place is just beautiful outside and in. The walk/hike to the castle was a great way to get some fresh air. The walk was manageable on paved road and not very steep. I would recommend getting your ticket then starting a leisurely journey up to the castle and if you have extra time, grab a snack, lunch or drink at the stand or restaurant up top. That was a good way to catch my breath before entering the castle. There are so many spots to take pictures of the castle outside so prepare for that.",Level 6 Contributor,42 Helpful votes,0.9813136458,"castle, walk, great way, good way, drink, lunch, snack, paved road, extra time, stand, fresh air, leisurely journey, breath, hike, Wow, place, ticket, restaurant, spots, pictures"
TravelLikeLocal,ui_bubble_rating bubble_40,Date of experience: December 2018,en,This is a place that I have to come every time I’m in Bavaria. I’ve been three times! I totally recommend booking a tour the first time you come because it can be a hassle to get tickets and make sure your at the gate on time!,Level 3 Contributor,2 Helpful votes,0.8378102779,"hassle, tickets, gate, Bavaria, tour, place, times"
joday013,ui_bubble_rating bubble_40,Date of experience: February 2019,en,"Great tour with my daughter. It just like all the pictures. Just a warning you can't take pictures inside the castles which is a shame, but still worth the walk up to see it.",Level 5 Contributor,22 Helpful votes,0.21813187,"pictures, shame, Great tour, daughter, castles, walk, warning"
jakubz457,ui_bubble_rating bubble_40,Date of experience: October 2018,en,"We arrive around 8 in the morning. The place in early autumn sun looks just amazing. We were charmed, but to be honest, if You can choose the day when You arrive, try middle of the week - during weekends the place is very crowded, in later hours even too much.
In my opinion there is no reason to get into the castle itself, but must be is to go/drive all the way to at least gates.
Very worth place to see",Level 3 Contributor,18 Helpful votes,0.8649456501,"place, weekends, middle, early autumn, later hours, reason, way, gates, opinion, castle, day, morning"
AmCan,ui_bubble_rating bubble_50,Date of experience: June 2018,en,"Neuschwanstein is ""Mad"" King Ludwig's architectural masterpiece. Now, Ludwig wasn't really all that ""mad,"" and the multi-layered, nuanced story (and mystery) unfolds as you take the tour. The “castle” is a modern invention. Ludwig started it in the late 19th century. It looks like a storybook castle, because it was built to be that way. Ultimately, it’s nothing but a big house, but oh my goodness, what a house it is. It’s a testament to how hereditary elite will spend their people’s money – but that doesn’t detract from its being a work of art. We can now appreciate its aesthetic value (tons of that) and its story. The interiors are amazing to see. Strangely, as big as it is, it’s a more intimate building than other Bavarian castles where opulence served a state purpose. I’m guessing that’s because of how it’s the idiosyncratic vision of one individual. Go. You won’t be disappointed.
Buying tickets: you have to buy tickets at the ticket center on Alpseestrasse. However, you can reserve a time, and by all means do that so you don’t have to wait in line for an hour and risk tickets running out. Tours are sold by time and language. I’d recommend doing what we did which is get a 14 day ticket from the Bavarian Palace Department (Bayerische Schlosserverwaltung). Buy the 14 day pass before you get to Neuschwanstein, and then show it at the ticket counter. You’ll get a decent discount. The 14 day pass will get you into all the other Bavarian palaces at no extra charge. Neuschwanstein’s the only with with an added charge. If you’re going to visit the other properties, you’ll be ahead by buying and using the pass here and elsewhere.
Getting there: Go by car if you possibly can. you can get there by bus, but you'll be limited by the bus's schedule. Arrive early so that you can find a parking space in the parking lots in town. The walk is short from the main parking lots to the ticket office. Watch while crossing the streets; lots of cars, buses, and tourists.
Should I use a tour? No. You can do this one yourself for a whole lot less money, and it'll be a lot more fun. From what I saw, tours don't get you anything that you can't get on your own, and they'll keep you from enjoying what you see at your own pace.
What to wear: It can get hot in the sun, and darn cold when the skies are overcast and the wind is blowing.
Getting from the ticket office to the castle: It’s uphill; by quite a bit. There are three ways to get there. You can walk the whole distance, ride a horse-drawn carriage, or take a bus and then walk. I’d recommend walking one segment, then riding the bus the other way. Buses are crowded. The carriages and buses are at additional cost.
Crowds: it’s really crowded – all the time.
Marienbrucke: Neuschwanstein is at the base of an Alpine mountain on a promontory. You can walk from it to other promontories, and a particular highlight of the trip is seeing the castle from the bridge between two small peaks. It’s the classic view you see in all the guidebooks. Just do it. It’s stunning. Be forewarned, though, that the wind blows strongly at the bridge.
Shoes to wear: Wear something comfortable with good support. I’d recommend a light hiking shoe. If you’re wearing sandals or flip-flops, you’re going to regret it; guaranteed.
Tips: take your own water bottle to save money. There are no water fountains - anywhere (seems to be an American invention). Re-fill your water bottles in the WC. Also, don't be shy packing your lunch. Food is very expensive at restaurants, and lots of folks pack their own. There’s a snack bar in the building which is okay – and convenient, but it’s also very pricey for what you get. I’d suggest walking to the castle, eating, then taking the tour – if you can time it that way. Figure at least three to four hours for the tour and walking the paths.
Who will like it? Adults, couples, and couples with teens, and even the 8 to 12 age group. Wouldn't recommend it for very small kids - they'd be bored stiff, and don’t bother if you’ve got a stroller (wait until they’re bigger).",Level 4 Contributor,44 Helpful votes,0.8146715164,"day ticket, time, ticket office, ticket center, ticket counter, buses, storybook castle, Wear, day pass, walking, main parking lots, Bavarian castles, Bavarian palaces, parking space, couples, risk tickets, water bottles, people’s money, water fountains, bridge, big house, wind, Tours, Bavarian Palace Department, intimate building, small kids, small peaks, nuanced story, extra charge, added charge, modern invention, American invention, opulence, ""King Ludwigs architectural masterpiece"", base, hereditary elite, Bayerische Schlosserverwaltung, state purpose, restaurants, particular highlight, Alpine mountain, tons, skies, mystery, bored stiff, cars, carriages, additional cost, good support, line, trip, goodness, town, Alpseestrasse, snack bar, horse, idiosyncratic vision, individual, light hiking shoe, shy packing, lunch, Food, aesthetic value, promontories, promontory, testament, streets, tourists, Shoes, WC, Tips, Marienbrucke, hours, Adults, teens, language, classic view, age group, stroller, interiors, decent discount, ""buss schedule"", sandals, flip-flops, guidebooks, distance, century, Neuschwanstein’s, Figure, folks, segment, paths, work of, properties, ways, Crowds"
dianacanaday,ui_bubble_rating bubble_40,Date of experience: December 2018,en,"but frankly I was just a little disappointed. The tour was an all day tour from Munich which was nice - a lot of beautiful countryside along the way....even though it was raining and even a little snowing, it was beautiful (and cold). When you get to Newschwanstein Castle be prepared - it is VERY crowded. I mean very very crowded. During the winter the buses are not running, so the horse carriages had over an hour line for each way. Maybe even longer. So hubby and I decided to walk up the hill. Not a bad walk - I would estimate about a mile up hill, so take your time. It's a well paved path and a nice climb. So after we make trip uphill, we are at the castle at our appointed time and this is where it' a little disappointing.... no photos, 100 more stairs inside, a fast, quick tour, and really not a lot to see. I liked the outside better than the inside. The only saving grace was to think of all the years of history and all of the people that have been in the same spot as I was... (although from what I've heard Ludwig was not a big entertainer). Am I glad I saw the inspiration for Disneyland castle - yes, am I sorry I made the trip from Munich - no. Do I wish it was just not so darn crowded...heck yes. I actually enjoyed the tour of Linderhof Palace (Ludwig's other home) just a little bit better....so make sure you do both.",Level 6 Contributor,104 Helpful votes,0.78903234,"day tour, quick tour, little snowing, tour of Linderhof Palace, way, Munich -, Disneyland castle, Newschwanstein Castle, inside, lot of beautiful countryside, nice climb, appointed time, trip uphill, bad walk, home, ""Ludwigs"", hour line, stairs, horse carriages, paved path, big entertainer, heck, inspiration, years of history, winter, buses, people, photos, outside, mile, hubby, grace, spot"
